X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,MU0,MU1,S1,GT
1,-0.27232697339026946,0,-0.14404707604564856,-1.2828167409308342,-0.5045493679681735,1.2293063205933445,0.394932912055629,1.1356079144030593,1.1063882482344005,-0.2723269733902693,-0.27232697339026946,0,200.0
0,1.1971449856046508,1,0.5848527899597971,-1.2828167409308342,0.30220217549246,-0.8134668985654722,0.394932912055629,-0.7082138621789887,-0.7217465199014982,1.1971449856046508,1.1971449856046508,0,200.0
0,-0.27232697339026946,0,-0.14404707604564856,0.23332717942168954,-0.3431990592760468,-0.8134668985654722,0.394932912055629,-0.7082138621789887,-1.6358139039694475,-0.2723269733902693,-0.27232697339026946,0,200.0
0,-0.27232697339026946,0,-0.14404707604564856,0.23332717942168954,-0.5045493679681735,-0.8134668985654722,0.394932912055629,-0.7082138621789887,-0.5389330430879083,-0.2723269733902693,-0.27232697339026946,0,200.0
0,-0.19385166489076458,1,-0.14404707604564856,-1.2828167409308342,0.9476034102609668,-0.8134668985654722,0.394932912055629,-0.7082138621789887,1.4720152018615802,-0.19385166489076444,-0.19385166489076458,0,200.0
1,-0.27232697339026946,0,1.3137526559652426,0.23332717942168954,-1.069275448390617,-0.8134668985654722,0.394932912055629,1.1356079144030593,0.37513434098004095,-0.2723269733902693,-0.27232697339026946,0,200.0
0,-0.27232697339026946,0,-0.8729469420510941,1.532879111152424,-0.3431990592760468,-0.8134668985654722,-1.3088481764920523,-0.7082138621789887,-0.35611956627431846,-0.2723269733902693,-0.27232697339026946,0,200.0
0,-0.27232697339026946,0,-0.8729469420510941,1.7494710997742131,0.30220217549246,-0.8134668985654722,0.394932912055629,-0.7082138621789887,-1.2701869503422678,-0.2723269733902693,-0.27232697339026946,0,200.0
0,-0.3243850326649691,0,1.3137526559652426,1.532879111152424,3.2065077319507407,1.2293063205933445,2.0987140006033105,-0.7082138621789887,0.9235747714208106,-0.32438503266496893,-0.3243850326649691,0,200.0
1,-0.3243850326649691,0,1.3137526559652426,0.23332717942168954,3.045157423258614,-0.8134668985654722,2.0987140006033105,1.1356079144030593,-1.2701869503422678,-0.32438503266496893,-0.3243850326649691,0,200.0
