pid,year,p_region,p_age,p_sex,p_married,p_edu,Ind
4404,2003.9668,0.7890941,9.951323,0.24073657,0.40127522,0.8859586,2.0547888
4701,2008.1213,2.1334705,20.190788,0.44083434,0.84452,1.6598735,4.0982175
4903,2012.297,3.3622818,31.22718,0.6328983,1.3140622,2.4801593,6.0409765
5002,2012.297,3.3622606,31.227226,0.63289213,1.3140297,2.4801736,6.040964
5003,2012.297,3.3622806,31.22719,0.6329036,1.3140545,2.4801588,6.040973
5101,2012.297,3.3622699,31.227201,0.63291216,1.3140507,2.4801717,6.0409703
5103,2012.297,3.362279,31.227196,0.63287425,1.3140439,2.4801607,6.040977
5104,2003.9668,0.7890984,9.951321,0.24073726,0.40127867,0.8859585,2.0547912
5105,2012.297,3.36225,31.227173,0.63290566,1.3140192,2.4801693,6.040966
5201,2008.1213,2.133474,20.19077,0.44082823,0.8445157,1.6598771,4.098221
5403,2003.9668,0.7891017,9.951347,0.24074784,0.40128338,0.8859647,2.054803
5404,2003.9668,0.7890947,9.951313,0.2407414,0.4012831,0.8859616,2.0547926
5602,2003.9668,0.78909814,9.95132,0.24073696,0.40127993,0.885963,2.0547907
5802,2003.9668,0.78909695,9.951317,0.24074215,0.40128398,0.8859603,2.0547895
5901,2012.297,3.3622656,31.227213,0.6329058,1.3140398,2.4801688,6.0409713
6001,2003.9668,0.78910685,9.951363,0.24075094,0.40129107,0.8859639,2.0548093
6002,2003.9668,0.7890965,9.951335,0.24074817,0.40128756,0.8859637,2.0547936
6101,2003.9668,0.78909147,9.951302,0.24073854,0.40127534,0.88595605,2.0547898
6102,2008.1213,2.1334732,20.19078,0.4408293,0.8445152,1.6598732,4.098215
6103,2003.9668,0.78910124,9.951337,0.24074289,0.4012859,0.8859643,2.0548003
6104,2016.4728,4.5911274,42.263607,0.82511145,1.7836417,3.3004677,7.9838004
6303,2003.9668,0.7891023,9.951342,0.24074543,0.40127623,0.885963,2.054803
6403,2008.1213,2.133473,20.19079,0.44083798,0.84453607,1.6598806,4.098215
6503,2003.9668,0.78909385,9.9513,0.24074253,0.4012742,0.8859619,2.0547826
6603,2003.9668,0.7890967,9.951326,0.24074,0.40128255,0.8859617,2.0547926
6702,2003.9668,0.78909194,9.951308,0.24073598,0.401277,0.8859602,2.0547893
6703,2003.9668,0.7890973,9.951331,0.2407409,0.40128046,0.885962,2.054795
6803,2008.1213,2.133471,20.19076,0.4408321,0.8445145,1.6598806,4.098215
6804,2020.6484,5.819921,53.299797,1.0174503,2.2532525,4.120739,9.926626
7201,2003.9668,0.78909266,9.951315,0.24074018,0.40128177,0.8859605,2.0547917
7202,2012.297,3.36227,31.22718,0.63290125,1.3140293,2.4801674,6.040971
7203,2008.1213,2.1334713,20.190786,0.4408312,0.8445095,1.6598711,4.098219
7204,2003.9668,0.7890943,9.951321,0.24074206,0.40128148,0.88596314,2.0547912
7205,2012.297,3.3622763,31.22717,0.6328962,1.3140572,2.4801764,6.0409713
7301,2016.4728,4.5911126,42.263622,0.82512563,1.7836417,3.3004732,7.9837937
7302,2003.9668,0.78908885,9.951297,0.24074039,0.40127164,0.8859603,2.0547829
7303,2008.1213,2.1334746,20.190794,0.44083598,0.84452975,1.6598811,4.098217
7304,2003.9668,0.7890985,9.951312,0.24073747,0.40128076,0.88596183,2.0547907
7501,2003.9668,0.78909135,9.951316,0.24074054,0.4012732,0.88596267,2.054787
7502,2008.1213,2.1334639,20.190777,0.44082513,0.844509,1.6598763,4.0982175
7601,2012.297,3.3622699,31.22724,0.63290954,1.3140385,2.480175,6.0409675
7602,2003.9668,0.78909636,9.951321,0.24074125,0.4012828,0.88596135,2.0547915
7603,2016.4728,4.591129,42.263596,0.8251274,1.7836577,3.300468,7.9838004
7701,2003.9668,0.7891016,9.951317,0.24073797,0.40128154,0.885958,2.0547924
7803,2003.9668,0.78910327,9.951344,0.24074206,0.4012807,0.88596207,2.0548027
7901,2008.1213,2.13347,20.19079,0.44084778,0.8445425,1.6598735,4.0982137
7903,2008.1213,2.1334717,20.190784,0.44083396,0.8445282,1.6598706,4.0982146
7904,2016.4728,4.591124,42.263622,0.82510674,1.783626,3.3004694,7.983795
7905,2008.1213,2.1334748,20.190788,0.44083112,0.8445165,1.6598735,4.0982237
8001,2012.297,3.3622754,31.227188,0.63289344,1.3140395,2.4801693,6.040972
8002,2003.9668,0.78909945,9.951329,0.24074513,0.4012907,0.8859602,2.0547948
8003,2003.9668,0.78909886,9.951361,0.2407529,0.4012851,0.885967,2.0548053
8004,2003.9668,0.7890911,9.951321,0.24073961,0.4012797,0.88596046,2.0547884
8201,2012.297,3.3622751,31.227182,0.6329015,1.3140533,2.4801602,6.0409813
8204,2016.4728,4.5911326,42.263615,0.8251002,1.78361,3.3004708,7.9837885
8303,2003.9668,0.7890978,9.951338,0.24074405,0.40128452,0.8859631,2.0547967
8501,2016.4728,4.5911403,42.26358,0.82512414,1.7836443,3.300473,7.983794
8503,2016.4728,4.591093,42.263607,0.82512385,1.7836262,3.300468,7.9837885
8504,2008.1213,2.1334693,20.190796,0.44082698,0.84451795,1.6598706,4.0982203
8603,2012.297,3.3622746,31.227224,0.63289154,1.3140284,2.4801645,6.040966
8604,2008.1213,2.1334753,20.190832,0.44083208,0.8445072,1.6598797,4.098216
8605,2008.1213,2.1334713,20.190786,0.44081977,0.8445152,1.6598654,4.09822
8701,2008.1213,2.133476,20.190777,0.4408286,0.8445133,1.6598735,4.098216
8801,2008.1213,2.1334698,20.190771,0.4408198,0.844517,1.6598647,4.098215
8802,2012.297,3.3622727,31.227184,0.6329001,1.3140299,2.4801736,6.040973
8803,2003.9668,0.78910065,9.951339,0.2407465,0.40127808,0.8859652,2.0548012
