year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage
2000,1,32,1,2,3,9,150
2005,1,37,1,2,3,9,140
2020,8,31,1,1,4,3,220
2020,1,28,2,1,5,14,100
2000,1,41,2,2,5,16,120
2000,1,41,1,1,3,7,180
2010,1,80,1,2,3,3,100
2015,1,85,1,2,3,3,120
2020,1,90,1,2,3,3,137
2005,8,56,1,2,5,6,100
2005,8,52,2,2,2,12,60
2005,1,68,1,2,2,14,70
2000,1,64,2,2,2,14,58
2005,1,69,2,2,2,12,62
2005,1,40,2,1,4,3,150
2000,1,31,2,1,3,9,60
2005,1,36,2,1,3,9,150
2010,1,41,2,1,3,9,100
2020,8,51,2,1,3,9,60
2015,8,24,1,1,4,3,150
2010,8,42,1,1,4,7,200
2020,8,52,1,1,4,18,80
2000,1,27,2,1,4,17,70
2015,1,36,1,1,5,10,375
2000,1,66,2,2,2,15,12
2005,1,41,2,3,3,1,80
2000,1,24,2,1,4,17,60
2005,1,29,2,1,4,17,90
2000,1,19,2,1,3,4,59
2005,1,24,2,1,4,11,140
2010,1,29,2,1,4,11,130
2015,1,34,2,2,4,11,300
2020,1,39,2,2,4,11,350
2000,1,56,1,2,3,12,100
2010,1,61,2,2,3,18,100
2015,1,66,2,2,3,18,100
2020,1,71,2,2,3,18,100
2000,1,28,2,1,5,17,100
2010,1,38,2,2,5,17,400
2005,1,31,1,1,5,11,258
2005,1,25,2,1,5,17,210
2010,1,30,2,1,5,17,240
2020,1,40,2,1,5,17,300
2000,1,50,1,2,2,16,80
2010,1,60,1,2,2,7,150
2015,1,65,1,2,2,8,100
2020,1,70,1,2,2,8,120
2005,1,54,2,2,2,20,45
2005,1,28,1,1,4,3,110
2020,1,43,1,2,5,10,200
2010,1,31,2,1,5,16,200
2005,1,34,1,2,3,6,180
2015,1,44,2,2,3,17,150
2020,1,49,2,2,3,17,195
2005,13,34,2,2,2,8,8
2015,13,44,2,2,2,7,60
2020,13,49,2,2,2,7,180
2005,1,32,2,1,3,3,130
2000,1,33,2,1,3,3,150
2005,1,38,2,1,3,3,80
2015,1,48,2,2,3,9,41
2020,1,53,2,2,3,9,100
2000,1,46,1,2,3,7,200
2005,3,39,1,2,5,3,150
2000,1,51,1,2,5,10,400
2005,1,56,1,2,5,10,600
2005,1,28,1,1,5,17,240
2010,8,33,1,2,5,17,1083
2005,1,27,1,1,5,12,235
