year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage
2020,1,45,2,2,4,19,200
2000,1,23,2,1,3,17,60
2010,1,33,2,3,3,7,150
2015,8,38,2,3,3,14,220
2015,1,36,1,2,5,14,400
2020,1,41,1,2,5,14,500
2000,1,34,1,2,5,13,200
2005,1,39,1,2,5,13,275
2010,1,44,1,2,5,13,420
2010,1,42,2,2,5,3,100
2015,1,47,2,2,5,17,162
2020,1,52,2,2,5,17,240
2015,8,69,1,2,5,3,100
2010,5,34,1,2,4,7,170
2010,1,32,1,2,5,3,245
2015,1,37,1,2,5,3,350
2020,1,42,1,2,5,3,460
2010,5,31,2,2,4,3,180
2015,5,36,2,2,4,3,250
2020,8,41,2,2,4,3,300
2000,1,33,1,2,5,4,300
2005,8,38,1,2,5,10,425
2010,8,43,1,2,5,10,1000
2015,8,48,1,2,5,10,2000
2015,1,52,2,2,3,17,130
2020,1,57,2,2,3,17,160
2020,1,28,2,1,5,13,200
2000,2,41,1,2,5,11,290
2005,1,46,1,2,5,11,350
2010,1,51,1,2,5,11,300
2015,1,53,2,2,3,15,220
2015,1,29,1,1,5,13,250
2020,1,34,1,2,5,13,250
2020,1,30,1,1,5,3,300
2000,1,39,1,2,5,8,190
2005,1,44,1,2,5,8,400
2010,1,49,1,2,5,8,500
2010,1,25,2,1,5,17,130
2015,1,30,2,2,5,17,150
2020,1,33,2,2,5,12,290
2020,1,31,1,1,5,7,150
2000,1,34,1,2,4,14,140
2005,1,39,1,3,4,6,270
2020,1,54,1,3,4,7,300
2000,1,33,1,1,5,8,170
2005,1,38,1,1,5,8,220
2010,1,43,1,1,5,8,450
2015,1,48,1,1,5,8,541
2020,1,53,1,1,5,8,480
2020,1,46,1,1,3,6,160
2020,1,44,1,1,3,13,250
2010,1,27,2,1,3,7,100
2000,1,29,2,2,3,3,15
2005,1,34,2,2,3,4,100
2010,1,39,2,2,3,4,100
2015,1,44,2,2,3,4,100
2020,1,49,2,2,3,4,150
2020,1,27,2,1,3,7,50
2000,1,35,1,2,3,9,170
2005,1,59,1,2,5,16,400
2010,1,64,1,2,5,18,100
2005,1,56,2,2,5,18,300
2010,1,61,2,2,5,18,200
2015,1,66,2,2,5,18,150
2005,1,30,1,2,5,11,300
2005,8,34,1,2,5,3,260
2000,1,49,1,2,5,16,390
2005,1,54,1,2,5,16,600
2015,1,64,1,2,5,16,750
2015,1,30,1,1,5,16,150
2000,1,62,1,2,5,17,350
2010,8,72,1,2,5,17,500
2020,1,34,2,1,5,13,250
2005,1,41,1,2,5,11,458
2010,1,46,1,2,5,11,500
2015,1,51,1,2,5,11,800
2020,1,56,1,2,5,14,200
2005,1,54,1,2,5,7,300
2005,1,27,2,1,5,3,150
2000,1,45,1,2,3,8,120
2000,1,42,2,2,3,3,60
2020,8,56,2,1,5,3,120
2000,1,46,1,3,2,3,120
2005,1,51,1,3,2,8,220
2010,1,56,1,2,2,8,270
2015,1,61,1,3,2,8,270
2020,1,66,1,3,2,8,280
2005,1,25,1,1,3,19,60
2005,1,22,2,1,3,17,120
2010,1,27,2,2,3,17,170
2010,1,22,2,1,4,16,140
2020,1,32,2,1,4,6,200
2010,1,36,2,2,3,3,120
2000,1,41,1,2,5,16,80
2000,1,45,1,2,5,7,230
2000,1,18,1,1,4,9,40
2015,1,34,1,1,5,7,140
2020,1,39,1,1,5,13,210
2005,1,33,1,2,5,16,60
2005,1,32,2,2,5,3,208
2000,1,44,1,2,5,10,300
2005,1,49,1,2,5,10,670
2010,1,54,1,2,5,10,500
2000,1,27,2,1,5,17,150
2005,1,36,1,2,5,3,280
2010,1,41,1,2,5,3,430
2015,1,46,2,2,5,3,200
2020,8,51,2,2,5,3,200
2020,8,60,2,2,3,7,225
2015,1,31,1,2,5,7,200
2020,4,36,1,2,5,13,300
2020,1,34,1,2,5,6,340
2020,4,37,2,2,5,16,200
2000,1,56,1,2,5,7,80
2005,1,61,1,2,5,14,80
2010,1,66,1,2,5,14,104
2015,1,71,1,2,5,14,132
2020,1,76,1,2,5,14,210
2005,1,55,2,2,3,11,148
2000,1,28,2,1,5,16,80
2000,1,26,2,1,5,18,100
2005,1,31,2,1,5,18,193
2005,1,27,1,1,4,18,70
2010,1,32,1,1,4,8,150
2015,1,37,1,1,4,9,200
2005,1,25,1,1,4,18,50
2015,1,35,1,1,5,6,330
2005,1,48,2,2,2,3,100
2010,1,53,2,2,2,3,110
2010,1,29,1,1,4,10,230
2015,1,34,1,1,5,10,550
2020,8,39,1,1,5,14,630
2005,1,22,2,1,4,3,130
2010,1,27,2,1,4,3,250
2015,1,32,2,3,4,3,200
2000,8,40,1,2,3,15,200
2005,8,45,1,2,3,15,250
2000,8,36,2,2,3,3,50
2005,8,41,2,2,3,3,70
2015,8,29,1,1,4,3,180
2020,8,34,1,2,4,3,310
2015,8,27,2,1,5,17,220
2005,1,27,1,1,4,3,130
2010,1,32,1,2,4,3,150
2015,1,37,1,2,4,3,170
2020,1,42,1,2,4,3,200
2005,1,25,2,1,4,17,100
2010,1,30,2,2,4,17,130
2015,1,35,2,2,4,17,160
2020,1,40,2,2,4,17,160
2005,1,29,1,2,5,10,220
2005,1,27,1,1,5,16,60
2000,1,43,2,3,2,20,10
2005,1,48,2,3,2,20,30
2015,1,58,2,3,2,20,60
2005,1,23,2,1,4,9,20
2005,1,51,2,3,3,12,95
2010,1,56,2,3,3,9,100
2015,1,61,2,3,3,9,106
2020,1,66,2,3,3,9,100
2010,1,31,1,1,3,14,100
2015,1,36,1,1,3,14,180
2005,1,24,1,1,2,7,70
2015,1,34,1,1,3,19,150
2020,1,39,2,3,5,11,280
2000,1,54,2,2,2,14,40
2005,1,59,2,2,2,14,49
2010,1,64,2,2,2,14,80
2015,1,42,1,1,3,8,200
2020,1,47,1,1,3,8,250
2015,1,68,1,2,4,17,80
2005,1,53,2,2,2,9,70
2015,1,63,2,2,2,14,70
2020,1,68,2,2,2,9,100
2015,1,40,2,2,5,17,76
2010,1,40,1,2,3,3,300
2000,1,34,1,2,5,7,130
2020,8,25,2,1,5,10,290
2010,1,40,2,1,5,10,450
2015,1,45,2,1,5,10,500
2000,1,50,2,2,2,7,100
2000,1,28,1,1,5,3,125
2005,1,33,1,2,5,3,160
2010,1,38,1,2,5,3,180
2015,1,43,1,2,5,3,260
2020,1,48,1,2,5,3,260
2000,1,24,2,1,3,7,40
2000,1,52,2,2,3,12,80
2015,1,67,2,3,3,18,180
2005,1,29,1,1,3,7,170
2010,1,34,1,1,3,14,130
2015,1,39,1,1,3,19,180
2020,1,44,1,1,3,19,200
2000,8,39,1,2,3,19,176
2005,8,44,1,2,3,19,220
2000,8,32,1,1,5,3,165
2000,8,25,2,2,5,3,140
2015,1,40,2,2,5,4,400
2000,1,68,1,2,1,14,65
2005,1,34,2,1,5,3,270
2015,8,44,2,1,5,3,800
2020,8,49,2,1,5,7,450
2005,8,30,2,1,5,11,330
2000,1,63,1,2,5,14,35
2000,8,30,1,1,5,3,160
2020,1,50,1,2,5,15,200
2000,1,42,2,2,3,12,50
2005,1,47,2,2,3,12,60
2015,1,31,1,1,4,7,200
2020,1,36,1,1,4,7,300
2005,1,25,1,1,4,13,208
2005,1,23,1,1,5,3,160
2010,1,28,1,1,5,10,500
2000,1,60,1,2,5,15,400
2005,8,65,1,2,5,15,600
2010,8,70,1,2,5,18,600
2005,8,29,1,2,4,3,250
2010,8,34,1,2,5,3,300
2015,8,39,1,2,5,3,400
2020,8,44,1,2,5,3,500
2010,8,41,2,2,3,7,40
2015,8,46,2,2,3,7,100
2020,8,27,2,1,5,8,220
2000,1,49,1,2,3,7,120
2010,1,58,2,2,3,18,170
2015,1,63,2,3,3,18,200
2015,1,41,1,2,4,4,200
2020,1,46,1,2,4,4,300
2005,1,28,1,1,3,3,50
2010,1,33,1,1,3,3,50
2000,1,54,1,2,3,6,300
2005,1,59,1,2,3,6,200
2005,1,54,2,2,3,9,100
2015,1,64,2,2,3,9,100
2005,1,31,1,1,4,9,150
2010,9,34,2,2,5,17,130
2015,8,53,1,2,3,3,220
2000,1,72,2,3,1,20,30
2020,8,42,1,1,5,6,100
2005,8,25,1,1,3,18,67
2010,8,30,1,2,3,3,200
2015,8,35,1,2,3,3,330
2020,8,40,1,2,3,3,280
2000,1,46,1,2,5,15,250
2005,1,51,1,2,5,15,550
2015,8,61,1,2,5,8,800
2005,1,25,2,2,5,7,170
2005,1,30,1,1,5,3,180
2010,1,35,1,1,5,3,180
2015,11,40,1,2,5,3,270
2020,11,45,1,2,5,3,460
2015,1,50,2,3,5,3,50
2020,1,22,1,1,4,9,130
2010,1,57,1,2,5,6,275
2000,1,38,1,2,3,8,95
2005,1,36,2,2,3,3,100
2020,1,28,2,1,4,17,200
2010,1,63,1,3,3,19,60
2015,1,68,1,3,3,17,20
2020,1,73,1,3,3,17,27
2000,1,68,2,3,2,12,51
2005,1,58,2,3,3,18,100
2010,1,63,2,3,3,18,100
2020,1,73,2,3,3,15,70
2010,1,32,1,1,2,9,100
2005,1,25,2,1,4,6,93
2010,1,30,2,1,4,6,150
2005,1,39,1,3,3,6,50
2015,1,49,1,3,3,6,160
2005,1,68,1,2,2,19,70
2020,1,82,2,2,3,17,27
2015,1,25,2,1,4,16,150
2010,1,36,1,3,4,6,380
2015,1,41,1,2,4,6,400
2005,1,52,1,2,4,6,200
2015,8,62,1,2,4,6,330
2020,8,67,1,2,4,6,190
2005,1,49,2,2,3,9,120
2010,1,54,2,2,3,9,150
2010,1,30,1,1,5,18,120
2015,8,35,1,1,5,7,180
2005,1,23,1,1,4,7,92
2010,1,28,1,2,4,6,200
2015,8,33,1,2,5,8,190
2000,1,48,1,2,5,11,300
2005,8,54,1,2,3,6,100
2015,8,64,1,2,3,19,300
2000,8,47,2,2,2,17,100
2005,8,28,1,1,5,10,220
2010,8,33,1,2,5,10,285
2000,8,21,2,1,4,16,85
2005,8,26,2,1,4,16,150
2020,8,41,2,1,4,16,500
2010,8,52,2,2,4,9,40
2020,8,62,2,2,4,14,120
2020,8,35,1,1,5,16,300
2005,1,52,1,2,3,15,300
2010,1,57,1,2,3,15,300
2015,19,62,1,2,3,15,150
2020,19,67,1,2,3,15,250
2005,1,49,2,2,3,9,100
2010,8,29,1,2,5,15,230
2015,10,34,1,2,5,15,340
2020,10,39,1,2,5,15,379
2005,1,23,2,1,3,3,80
2015,19,33,2,1,5,10,200
2010,1,52,2,2,5,19,30
2015,1,57,2,2,5,19,60
2010,14,41,1,3,5,3,160
2015,14,46,1,2,5,3,370
2020,14,51,1,2,5,3,433
2000,1,21,2,1,4,8,20
2005,1,59,2,3,2,14,75
2010,1,64,2,3,2,14,60
2005,8,33,1,2,5,13,248
2010,8,38,1,2,5,13,550
2015,8,43,1,2,5,13,630
2020,8,48,1,2,5,13,800
2010,8,40,2,2,3,10,80
2020,8,50,2,2,3,17,110
2020,1,79,1,2,5,17,27
2005,8,30,2,2,5,16,140
2000,1,29,1,2,5,3,110
2005,8,34,1,2,5,3,400
2000,1,25,2,1,4,17,100
2005,1,30,2,2,4,17,120
2010,1,35,2,2,4,17,200
2020,1,45,2,2,4,17,430
2000,1,45,2,3,5,16,50
2005,1,50,2,3,5,17,80
2015,1,60,2,3,5,18,140
2020,8,65,2,3,5,18,100
2005,1,24,2,1,4,9,80
2010,1,29,2,1,4,16,150
2015,1,31,2,1,5,13,250
2020,8,36,2,2,5,13,300
2020,1,70,1,2,4,12,210
2020,8,63,2,3,3,18,300
2005,1,26,2,1,5,7,140
2010,1,31,2,2,5,7,200
2015,1,36,2,2,5,7,200
2010,1,30,2,1,5,19,230
2015,1,35,2,1,5,19,310
2020,8,40,2,1,5,19,300
2015,1,32,1,2,5,17,350
2020,1,37,1,2,5,17,450
2000,1,41,2,2,2,3,15
2010,1,51,2,2,2,9,80
2015,1,56,2,2,2,9,160
2020,1,61,2,2,2,9,100
2015,1,29,1,1,5,3,160
2015,1,25,1,1,4,4,230
2000,1,22,2,1,4,3,38
2000,1,52,1,2,4,3,138
2005,1,57,1,2,4,3,90
2010,1,62,1,2,4,12,120
2015,1,67,1,2,4,3,130
2020,1,72,1,2,4,17,140
2005,1,53,2,2,2,20,100
2000,1,25,2,1,3,3,95
2005,1,30,2,1,3,3,140
2000,1,23,2,1,3,3,101
2000,1,17,1,1,2,4,58
2005,1,22,1,1,4,7,36
2010,1,27,1,1,4,3,200
2015,1,32,1,1,4,3,200
2015,1,30,1,1,4,3,200
2005,8,48,1,2,3,19,180
2020,8,63,1,2,3,14,260
2015,8,58,2,2,3,9,120
2020,8,63,2,2,3,17,200
2015,8,28,2,1,5,10,150
2020,8,33,2,1,5,18,250
2000,1,32,1,2,5,3,230
2000,1,30,2,2,5,13,200
2000,1,39,1,2,3,8,200
2005,1,44,1,2,3,8,400
2010,1,49,1,2,3,8,400
2015,8,54,1,2,3,8,400
2020,8,59,1,2,3,8,530
2000,1,41,2,2,3,16,70
2020,8,31,1,1,4,3,250
2000,1,36,1,2,3,6,100
2005,1,41,1,2,3,6,150
2010,1,46,1,2,3,6,200
2015,1,51,1,2,3,6,180
2020,1,56,1,2,3,6,350
2020,11,26,1,1,4,15,240
2000,1,57,1,2,2,6,80
2005,1,62,1,2,2,6,90
2020,1,77,1,2,2,15,37
2020,1,80,2,2,2,17,27
2000,1,42,1,2,2,6,100
2005,1,47,1,2,2,6,120
2010,1,52,1,2,2,6,200
2005,1,44,2,2,2,9,50
2010,1,26,1,1,4,7,130
2015,1,29,2,1,3,17,170
2020,1,34,2,1,3,17,200
2005,1,35,1,1,3,3,180
2010,1,40,1,1,3,3,180
2000,1,36,1,2,5,6,100
2005,8,41,1,2,5,6,200
2010,8,46,1,2,5,6,200
2015,8,51,1,2,5,6,470
2020,8,56,1,2,5,6,380
2015,8,45,2,2,3,3,200
2020,8,50,2,2,3,3,290
2020,8,25,2,1,4,3,290
2000,1,31,1,2,5,5,175
2005,1,36,1,2,5,5,230
2000,1,31,2,2,5,16,115
2005,1,36,2,2,5,16,90
2005,1,50,1,3,2,12,90
2010,1,55,1,2,2,6,130
2015,1,60,1,2,2,12,140
2020,1,65,1,2,2,12,200
2015,1,58,2,2,2,11,120
2020,1,63,2,2,2,11,120
2010,1,28,1,1,4,3,200
2020,8,77,1,2,2,17,27
2005,1,56,2,2,2,18,50
2010,1,61,2,2,2,18,70
2020,8,71,2,2,2,17,27
2005,1,29,1,1,3,1,100
2010,1,34,1,1,3,3,140
2015,1,39,1,2,3,3,250
2020,1,44,1,2,3,7,200
2000,1,27,2,1,3,3,115
2005,1,32,2,2,4,3,376
2010,1,37,2,2,4,3,500
2000,1,58,2,3,1,15,25
2000,1,48,1,2,5,6,250
2005,1,19,2,1,4,16,24
2010,1,24,2,1,5,13,153
2005,1,27,1,1,5,10,230
2010,1,32,1,1,5,10,350
2000,1,55,1,2,5,16,350
2005,8,60,1,2,5,16,500
2005,8,27,2,1,5,16,220
2015,8,67,1,3,3,12,60
2020,8,72,1,3,3,16,100
2000,1,47,2,2,3,11,50
2000,1,19,1,1,4,16,20
2000,1,41,1,2,3,13,200
2015,1,64,1,2,2,12,130
2005,1,53,2,2,2,3,70
2010,1,58,2,2,2,3,40
2015,1,63,2,2,2,14,132
2010,1,30,1,1,5,10,200
2005,1,23,2,1,4,17,20
2010,8,46,2,3,5,17,70
2015,8,51,2,3,5,17,170
2020,8,56,2,3,5,17,240
2000,1,41,1,2,5,16,220
2005,1,46,1,2,5,16,370
2010,1,51,1,2,5,16,350
2015,8,56,1,2,5,16,550
2015,8,30,1,2,4,9,250
2020,8,35,1,2,4,9,200
2015,8,29,1,1,5,15,200
2020,8,34,1,1,5,15,300
2000,1,54,1,2,2,8,130
2005,1,59,1,2,2,8,150
2010,1,64,1,2,2,8,180
2000,1,27,2,1,4,11,170
2005,1,32,2,2,4,11,330
2010,1,37,2,2,4,11,570
2015,1,42,2,2,4,11,800
2020,1,47,2,2,5,11,850
2000,1,25,1,1,4,9,90
2005,1,30,1,1,4,7,120
2015,1,40,1,3,4,10,250
2005,1,24,1,1,4,18,150
2015,1,34,1,1,5,3,180
2020,1,39,1,3,5,3,300
2015,8,56,1,2,3,8,150
2020,8,61,1,2,3,12,190
2015,8,53,2,2,3,8,150
2020,8,58,2,2,3,8,260
2015,8,28,1,1,4,10,250
2020,8,33,1,1,4,10,230
2015,8,22,2,1,4,16,160
2020,8,27,2,1,4,17,200
2000,1,29,2,1,3,13,80
2005,1,40,2,1,3,9,90
2010,1,45,2,1,3,9,70
2015,8,50,2,3,3,9,60
2020,8,53,1,2,4,8,300
2020,1,64,1,2,3,6,200
2005,1,46,2,2,3,9,130
2015,1,56,2,2,3,9,140
2005,1,20,2,1,4,18,58
2020,1,35,2,1,4,3,100
2020,1,31,2,1,4,7,100
2020,8,75,2,2,3,17,87
2000,8,28,2,1,5,18,110
2020,8,48,2,1,5,17,200
2000,1,51,1,2,2,19,80
2005,1,56,1,2,2,19,100
2010,1,61,1,2,2,19,150
2015,1,66,1,2,2,19,200
2020,1,71,1,2,2,19,200
2015,1,33,1,1,5,19,150
2000,1,41,1,2,3,3,140
2000,1,40,2,2,3,11,50
2010,1,44,2,2,3,15,8
2020,10,54,2,2,3,17,90
2015,1,24,2,1,4,17,180
2015,1,19,2,1,3,9,90
2000,1,47,1,2,5,16,150
2005,1,52,1,2,5,16,360
2010,1,57,1,2,5,16,410
2010,1,29,1,1,5,7,135
2010,1,27,1,1,5,10,128
2015,1,32,1,1,5,10,280
2020,1,37,1,1,5,10,400
2000,1,36,2,2,5,16,180
2000,1,47,1,2,5,16,200
2005,1,52,1,2,5,16,333
2010,1,57,1,2,5,16,550
2000,1,40,2,2,5,16,220
2005,1,45,2,2,5,16,315
2010,1,50,2,2,5,16,500
2015,1,55,2,2,5,16,500
2020,1,60,2,2,5,16,550
2010,1,25,2,1,5,7,100
2000,1,36,1,2,5,11,650
2000,1,36,2,2,5,11,270
2015,1,63,2,2,2,7,144
2000,1,24,2,1,4,17,120
2005,11,29,2,2,4,17,145
2010,11,34,2,2,4,17,170
2015,11,39,2,2,4,17,250
2020,1,44,2,2,4,17,300
2000,1,22,2,1,3,7,130
2005,1,27,2,1,3,7,180
2005,1,25,1,1,3,7,140
2010,1,30,1,1,3,7,145
2015,1,35,1,3,3,7,280
2000,1,29,1,1,4,8,120
2010,8,39,1,1,4,11,150
2020,4,49,1,1,4,8,200
2000,1,26,2,1,3,11,85
2005,1,31,2,1,4,11,120
2015,1,41,2,1,4,11,180
2020,1,46,2,1,4,11,206
2000,1,62,1,2,3,3,68
2000,1,63,1,2,3,14,75
2005,8,68,1,2,3,14,85
2005,1,45,1,2,5,16,64
2010,1,50,1,2,5,16,100
2015,1,55,1,2,5,16,750
2020,1,60,1,2,5,16,750
2005,1,45,2,2,4,7,100
2010,1,50,2,2,4,7,130
2015,1,55,2,2,4,7,150
2020,1,60,2,2,4,17,40
2000,1,33,1,2,3,9,175
2005,1,38,1,2,3,9,190
2010,1,43,1,2,3,9,210
2015,1,48,1,2,3,9,280
2020,8,53,1,2,3,9,380
2010,1,42,2,2,3,7,100
2015,8,58,1,3,5,17,157
2020,8,63,1,3,5,17,150
2000,1,52,1,2,5,16,250
2005,1,57,1,2,5,16,484
2010,1,30,1,1,5,13,250
2000,1,30,2,1,4,16,120
2000,1,28,2,1,5,17,90
2000,1,54,2,2,3,18,70
2010,8,64,2,2,3,9,75
2015,8,69,2,2,3,9,150
2020,8,74,2,3,3,18,185
2005,1,35,1,2,4,3,155
2010,1,40,1,2,4,3,240
2015,1,45,1,2,4,3,270
2020,1,50,1,2,4,3,300
2000,1,51,1,2,5,6,450
2005,1,56,1,2,5,6,816
2010,1,61,1,2,5,13,380
2005,1,53,1,2,5,12,190
2010,1,58,1,2,5,12,250
2010,1,30,2,1,5,3,170
2010,1,27,2,1,4,16,170
2000,1,55,1,2,3,15,150
2000,1,26,1,1,5,10,70
2005,8,31,1,1,5,10,200
2010,1,36,1,2,5,10,300
2015,1,41,1,2,5,10,370
2020,1,46,1,2,5,10,500
2005,8,30,2,1,5,16,250
2010,8,35,2,1,5,16,220
2015,1,40,2,1,5,16,300
2020,1,45,2,1,5,16,350
2005,8,44,2,2,2,7,50
2010,8,49,2,2,2,14,66
2015,8,54,2,2,2,12,89
2020,8,59,2,2,2,12,130
2000,1,42,1,2,5,8,220
2005,1,47,1,2,5,8,460
2010,8,52,1,2,5,8,450
2015,8,57,1,2,5,8,500
2020,8,62,1,2,5,9,200
2020,8,59,2,2,3,7,100
2015,8,29,1,1,5,13,250
2020,8,34,1,1,5,10,260
2020,8,32,1,1,5,15,200
2000,1,46,1,2,3,3,130
2005,1,51,1,2,3,12,95
2015,1,34,1,2,5,8,200
2020,1,39,1,2,5,8,250
2000,1,45,2,3,4,16,100
2005,1,50,2,3,4,16,80
2010,1,55,2,3,4,17,200
2015,1,60,2,3,4,17,250
2000,1,47,1,2,5,13,300
2005,8,52,1,2,5,13,800
2005,1,58,1,2,5,10,900
2010,1,59,2,2,5,18,50
2015,1,64,2,2,5,18,15
2000,1,22,2,1,5,11,90
2005,1,27,2,1,5,11,270
2010,1,32,2,1,5,11,250
2015,1,37,2,2,5,11,400
2020,1,42,2,2,5,11,450
2005,14,37,2,2,5,17,100
2005,8,51,1,2,5,19,120
2010,14,56,1,2,5,19,90
2015,14,61,1,2,5,19,90
2020,14,66,1,2,5,19,70
2010,14,29,1,1,4,11,150
2010,14,27,1,1,4,19,150
2020,8,58,2,2,3,17,100
2015,8,22,2,1,4,9,31
2020,8,27,2,1,5,7,47
2005,1,44,1,2,5,3,410
2020,1,59,1,2,5,3,500
2020,1,61,2,2,4,3,400
2010,1,21,1,1,4,16,40
2015,1,24,2,1,4,19,120
2020,1,29,2,1,4,9,180
2000,1,40,1,2,4,19,100
2005,1,45,1,2,4,6,150
2015,1,55,1,2,4,17,140
2020,1,60,1,2,4,16,190
2005,1,44,2,2,2,9,120
2005,1,33,2,3,3,7,100
2010,1,38,2,3,3,9,160
2015,1,43,2,3,3,9,180
2020,1,48,2,3,3,9,200
2020,1,27,2,1,5,17,230
2010,10,28,1,1,4,18,170
2015,10,33,1,2,4,18,180
2020,10,38,1,2,4,18,350
2005,1,21,2,1,3,18,110
2010,1,26,2,1,3,17,200
2015,1,31,2,1,3,17,230
2020,1,36,2,1,3,17,380
2000,1,35,1,2,4,13,180
2005,8,40,1,2,4,13,320
2010,8,45,1,2,5,13,300
2015,8,50,1,2,5,13,400
2020,8,55,1,2,5,13,450
2015,8,45,2,2,3,16,100
2020,8,50,2,2,3,16,170
2020,6,25,2,1,4,16,200
2020,8,25,2,1,5,17,220
2005,1,39,1,2,2,7,110
2010,1,44,1,2,2,7,100
2000,1,31,1,1,5,10,150
2005,8,36,1,2,5,10,220
2000,1,29,1,1,5,12,140
2005,1,34,1,2,5,11,300
2000,1,44,1,2,3,8,120
2005,1,49,1,2,3,8,290
2010,1,54,1,2,3,8,400
2000,1,43,2,2,2,9,80
2010,1,53,2,2,2,3,70
2015,1,58,2,2,2,3,100
2005,1,24,2,1,5,16,80
2015,1,32,2,1,5,10,200
2000,1,55,2,3,1,20,20
2005,8,37,2,1,3,17,88
2010,1,42,2,1,3,17,150
2015,8,47,2,1,3,17,150
2020,1,52,2,1,3,17,270
2005,8,34,1,1,5,12,100
2010,1,39,1,1,5,17,80
2015,8,44,1,1,5,17,140
2020,1,49,1,1,5,17,176
2000,1,26,1,1,4,10,150
2005,8,31,1,2,4,3,130
2010,8,36,1,2,4,3,250
2015,8,41,1,2,4,3,350
2000,1,34,1,2,5,3,150
2000,1,60,2,2,2,15,47
2010,1,37,2,2,3,7,120
2005,1,23,2,1,4,17,160
2005,1,69,1,2,2,12,75
2010,1,74,1,2,2,12,75
2000,1,62,2,2,2,20,30
2000,1,50,2,2,2,15,60
2000,1,28,1,1,4,10,88
2005,1,33,1,1,4,7,195
2010,1,38,1,1,4,7,200
2015,1,43,1,2,4,7,500
2020,1,48,1,2,4,3,450
2005,1,31,1,2,5,6,240
2015,1,62,2,2,2,9,80
2020,14,67,2,2,2,17,36
2010,1,32,1,2,3,7,200
2015,8,37,1,2,3,3,245
2020,8,42,1,2,3,3,300
2000,1,30,1,2,3,16,100
2005,1,30,1,2,3,13,320
2015,8,40,1,2,3,13,300
2005,1,41,2,2,4,19,320
2015,1,67,1,2,2,7,95
2020,1,72,1,2,2,17,130
2000,1,43,2,2,2,3,30
2005,1,48,2,2,2,12,50
2015,1,58,2,2,2,18,30
2020,1,63,2,2,2,18,50
2000,1,20,2,1,3,8,45
2005,1,25,2,1,3,13,90
2015,1,35,2,1,3,11,70
2020,1,40,2,1,3,16,50
2000,1,50,1,3,5,3,60
2000,1,19,1,1,3,3,100
2005,1,24,1,1,3,6,180
2010,1,29,1,1,3,6,150
2000,8,37,1,2,3,6,120
2005,8,42,1,2,3,6,200
2000,1,53,2,2,2,3,100
2005,4,35,1,2,5,16,260
2010,11,40,1,2,5,16,470
2015,11,45,1,2,5,16,670
2020,11,50,1,2,5,16,650
2000,1,29,2,1,5,17,100
2005,1,34,2,2,5,17,220
2010,1,39,2,2,5,17,250
2015,1,44,2,2,5,17,220
2020,1,49,2,3,5,17,310
2000,1,26,2,1,5,17,50
2005,1,31,2,1,5,15,147
2000,1,27,1,1,5,6,75
2010,1,37,1,2,5,18,350
2015,8,42,1,2,5,18,500
2020,8,47,1,2,5,6,400
2000,1,48,1,2,2,6,100
2010,1,58,1,2,2,6,210
2015,1,63,1,2,2,6,250
2015,1,78,1,2,2,6,180
2000,1,56,2,2,2,11,50
2000,1,32,1,1,4,8,70
2020,1,52,1,2,4,6,180
2010,1,59,2,3,3,16,80
2015,1,64,2,3,3,18,140
2020,1,69,2,3,3,18,180
2000,1,39,1,1,5,15,120
2005,1,44,1,1,5,15,340
2015,1,54,1,2,5,15,500
2020,1,59,1,2,5,15,500
2005,1,38,2,2,3,3,80
2010,1,43,2,2,3,3,110
2015,1,48,2,2,3,3,125
2020,1,53,2,2,3,17,180
2000,1,39,1,2,3,15,150
2015,9,54,1,2,3,11,200
2005,1,56,2,3,2,6,200
2010,1,61,2,3,2,6,200
2020,1,71,2,3,2,3,150
2000,1,28,2,1,3,5,70
2005,1,33,2,1,3,5,120
2010,1,38,2,1,4,5,150
2000,1,27,1,1,3,8,100
2005,1,32,1,1,3,7,160
2010,1,48,1,2,5,13,195
2015,1,53,1,2,5,13,230
2020,1,58,1,2,5,1,400
2010,1,46,2,2,4,12,150
2015,1,51,2,2,4,17,173
2010,1,52,1,2,3,12,120
2020,1,62,1,2,3,17,140
2015,1,50,2,2,3,17,50
2020,1,55,2,2,3,17,70
2000,1,44,1,2,4,21,260
2005,1,49,1,2,4,21,400
2010,1,56,1,2,2,6,150
2015,1,61,1,2,2,6,200
2000,1,43,2,2,2,3,60
2005,1,48,2,2,2,7,80
2010,1,53,2,2,2,7,100
2015,1,58,2,2,2,7,120
2020,1,63,2,2,2,7,168
2010,1,29,1,1,5,13,170
2015,1,34,1,1,5,13,300
2020,8,39,1,2,5,13,400
2015,1,32,1,1,5,18,200
2000,1,24,1,1,3,11,80
2005,1,29,1,1,4,11,170
2000,1,49,2,2,2,14,60
2005,1,54,2,2,2,14,78
2000,1,40,1,2,3,7,170
2020,1,32,1,1,4,10,210
2015,1,25,2,1,4,17,190
2000,8,35,1,2,3,9,180
2005,8,40,1,2,3,9,500
2000,1,35,1,2,5,11,150
2005,1,40,1,2,5,11,300
2010,1,45,1,2,5,11,500
2015,1,50,1,2,5,11,600
2020,1,55,1,2,5,17,180
2015,1,19,2,1,4,9,35
2000,1,65,1,2,5,7,150
2000,1,37,1,1,5,11,170
2005,8,42,1,2,5,12,200
2000,1,31,1,1,5,6,130
2005,8,36,1,2,5,6,210
