year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage,pid
2015,2,33,1,1,5,3,200,141204
2000,2,26,1,1,4,9,30,141402
2000,2,52,1,2,2,6,80,141501
2005,2,57,1,2,2,6,120,141501
2010,2,62,1,3,2,6,80,141501
2000,2,45,2,2,2,9,50,141502
2000,2,51,1,2,3,8,200,141601
2000,2,21,2,1,4,14,60,141603
2000,2,20,2,1,4,9,10,141604
2010,7,30,2,2,5,3,320,141604
2015,7,35,2,2,5,3,350,141604
2010,2,27,1,1,5,16,100,141605
2015,2,32,1,1,5,8,230,141605
2020,2,37,1,1,5,8,250,141605
2005,2,50,1,2,2,3,170,141701
2010,2,55,1,2,2,3,200,141701
2020,2,65,1,2,2,8,200,141701
2005,2,25,2,1,5,18,79,141703
2010,15,28,1,1,5,3,250,141704
2015,15,33,1,1,5,3,350,141704
2020,15,38,1,1,5,3,430,141704
2000,2,49,1,2,3,1,145,141801
2005,2,54,1,2,3,1,400,141801
2000,2,44,2,2,3,3,160,141802
2010,3,46,2,2,4,17,250,141902
2015,3,51,2,2,4,17,250,141902
2020,3,56,2,3,4,17,225,141902
2020,10,27,1,1,5,3,300,141903
2000,2,52,1,2,4,11,260,142101
2010,2,46,1,2,5,7,350,142202
2005,2,37,2,2,5,9,38,142203
2020,2,52,2,3,5,17,180,142203
2000,2,53,1,2,2,6,15,142501
2005,2,55,2,2,2,1,50,142502
2010,2,60,2,2,2,1,70,142502
2015,2,65,2,3,2,1,100,142502
2000,2,28,1,2,3,7,72,142503
2005,2,33,1,2,3,16,130,142503
2010,2,38,1,2,3,16,300,142503
2015,2,43,1,2,3,16,328,142503
2020,2,48,1,2,3,16,250,142503
2000,2,27,1,1,3,8,110,142504
2010,2,37,1,1,3,8,180,142504
2015,2,42,1,1,3,18,100,142504
2020,2,47,1,1,3,18,200,142504
2000,2,23,2,1,3,9,80,142505
2005,2,28,2,3,3,9,150,142505
2000,2,40,1,1,2,14,50,142703
2005,2,45,1,1,2,6,80,142703
2010,2,50,1,1,2,6,130,142703
2015,2,55,1,1,2,3,145,142703
2020,2,60,1,1,2,6,150,142703
2000,2,32,1,2,3,3,80,142801
2005,2,37,1,2,3,3,140,142801
2010,2,42,1,2,3,3,180,142801
2020,2,52,1,2,3,3,300,142801
2015,2,42,2,2,3,9,120,142802
2020,2,47,2,2,3,9,84,142802
2005,2,46,1,2,2,3,170,143101
2005,2,45,2,2,3,9,70,143102
2005,2,37,1,2,3,4,150,143105
2010,2,42,1,2,3,3,200,143105
2005,2,31,1,1,3,3,118,143204
2010,2,36,1,2,3,3,250,143204
2015,2,41,1,2,3,3,250,143204
2020,2,46,1,2,3,3,250,143204
2000,2,45,1,2,3,3,190,143301
2005,2,50,1,2,3,3,200,143301
2010,2,55,1,2,3,3,250,143301
2015,2,60,1,2,3,3,300,143301
2010,2,53,2,2,2,3,100,143302
2015,2,58,2,2,2,3,150,143302
2005,2,24,1,1,4,3,100,143303
2015,15,34,1,2,5,3,250,143303
2020,2,39,1,2,5,8,340,143303
2010,2,27,1,1,4,3,200,143304
2015,2,32,1,1,4,3,250,143304
2020,15,37,1,1,4,3,250,143304
2010,2,25,2,1,4,17,136,143404
2000,2,52,1,2,3,19,150,143501
2005,2,57,1,2,3,19,250,143501
2000,2,46,2,2,3,11,100,143502
2010,2,26,2,1,4,19,150,143505
2015,2,31,2,1,4,19,200,143505
2000,2,34,1,1,5,15,120,143603
2005,2,39,1,2,5,15,190,143603
2010,2,44,1,2,5,15,270,143603
2015,2,49,1,2,5,18,320,143603
2020,2,54,1,2,5,18,350,143603
2020,2,49,2,2,4,9,54,143605
2020,2,56,2,2,3,3,190,143702
2015,2,26,1,1,5,8,210,143703
2020,2,31,1,1,5,3,550,143703
2000,15,28,1,1,5,15,120,143705
2005,15,33,1,2,5,15,323,143705
2010,15,38,1,2,5,15,350,143705
2005,2,61,1,3,2,6,30,143801
2000,2,39,2,3,2,3,60,143901
2005,2,44,2,3,2,3,70,143901
2010,2,49,2,3,2,3,80,143901
2015,2,54,2,3,2,3,130,143901
2020,2,59,2,3,2,3,180,143901
2015,2,34,2,2,5,8,230,143902
2020,2,39,2,2,5,8,310,143902
2010,2,26,1,1,3,3,210,143903
2015,2,31,1,2,3,3,250,143903
2020,15,36,1,2,3,3,280,143903
2010,1,29,1,1,3,10,120,144003
2010,2,21,2,1,2,3,50,144102
2010,2,20,2,1,3,7,50,144103
2000,2,62,2,3,2,6,50,144201
2005,2,67,2,3,2,6,30,144201
2005,2,33,1,1,2,6,40,144202
2000,2,59,2,3,3,9,25,144401
2010,15,69,2,3,3,18,50,144401
2020,15,79,2,3,3,15,30,144401
2005,2,41,1,2,2,11,400,144701
2010,1,30,1,1,5,10,260,144803
2015,1,35,1,1,5,10,400,144803
2020,2,40,1,2,5,14,430,144803
2005,2,21,2,1,3,13,50,144903
2010,2,26,2,1,3,18,150,144903
2015,2,61,1,2,2,14,176,145101
2020,2,66,1,3,2,6,320,145101
2000,2,41,2,2,2,9,70,145102
2005,2,46,2,2,2,9,120,145102
2010,2,51,2,2,2,20,100,145102
2020,19,61,2,3,2,9,150,145102
2015,2,31,1,1,4,7,200,145103
2020,19,36,1,1,4,6,150,145103
2005,2,34,1,1,5,7,186,145204
2010,2,68,2,2,2,1,80,145302
2000,2,29,1,2,5,11,200,145303
2005,2,34,1,2,5,11,295,145303
2010,2,39,1,2,5,11,400,145303
2015,2,44,1,2,5,11,630,145303
2020,2,49,1,2,5,11,800,145303
2010,2,53,1,3,3,6,40,145401
2015,2,46,1,2,3,3,200,145501
2015,2,46,2,2,3,9,125,145502
2015,2,22,2,1,4,17,130,145503
2000,2,66,2,3,1,13,60,145601
2005,2,71,2,3,1,13,60,145601
2010,2,76,2,3,1,13,60,145601
2000,2,26,2,1,4,3,58,145703
2005,2,31,2,3,4,9,120,145703
2000,2,58,1,3,2,6,40,145901
2005,2,63,1,3,2,6,100,145901
2010,15,39,1,1,3,14,185,145902
2015,15,44,1,1,3,14,220,145902
2010,2,25,2,1,4,3,100,146002
2015,2,30,2,1,4,7,200,146002
2020,2,35,2,1,4,7,230,146002
2000,2,68,1,2,2,6,30,146201
2000,2,31,1,1,2,11,130,146203
2010,2,41,1,1,2,14,150,146203
2015,2,46,1,1,2,11,200,146203
2000,2,29,1,1,2,11,100,146204
2020,2,49,1,1,2,7,190,146204
2000,2,44,1,2,2,8,90,146401
2010,2,54,1,2,2,6,96,146401
2015,2,59,1,2,2,6,200,146401
2000,2,43,2,2,2,3,70,146402
2010,2,53,2,2,2,3,130,146402
2010,2,27,1,1,5,17,120,146404
2015,2,32,1,1,5,7,220,146404
2000,2,39,1,2,5,4,165,146501
2005,1,36,1,2,3,19,200,146702
2010,8,41,1,2,3,19,150,146702
2015,8,46,1,2,3,19,180,146702
2000,2,28,1,1,3,19,105,146703
2005,1,33,1,1,3,7,194,146703
2010,1,38,1,2,3,19,230,146703
2015,1,43,1,2,3,19,250,146703
2020,1,48,1,2,3,19,330,146703
2020,8,47,2,2,3,17,110,146704
2015,2,51,2,2,2,7,150,146706
2015,2,54,1,2,3,3,180,146707
2015,2,26,1,1,4,7,20,146708
2020,2,31,1,1,5,7,250,146708
2005,8,48,1,2,2,7,80,146801
2010,8,53,1,2,2,7,110,146801
2015,8,58,1,2,2,7,110,146801
2020,8,63,1,2,2,7,150,146801
2005,8,45,2,2,2,9,60,146802
2010,8,50,2,2,2,9,75,146802
2015,8,55,2,2,2,9,160,146802
2010,8,24,2,1,3,3,80,146803
2000,2,40,1,2,2,3,80,146901
2005,2,45,1,2,2,3,70,146901
2010,2,50,1,2,2,3,160,146901
2015,2,55,1,2,2,3,180,146901
2020,2,60,1,2,2,3,250,146901
2015,2,56,2,2,2,9,45,146902
2015,2,68,1,2,2,14,112,147001
2005,2,45,2,2,2,9,110,147002
2010,2,50,2,2,2,9,175,147002
2015,2,55,2,2,2,9,175,147002
2020,2,60,2,2,2,9,250,147002
2020,2,23,2,1,5,17,210,147004
2000,2,44,1,2,2,8,95,147101
2005,2,49,1,2,2,14,60,147101
2015,2,59,1,2,2,14,120,147101
2020,2,61,2,2,2,15,185,147102
2020,2,30,2,1,5,6,250,147104
2000,2,29,1,2,4,3,102,147203
2005,15,34,1,2,4,3,178,147203
2005,15,33,2,2,4,17,118,147204
2000,2,42,1,2,3,3,150,147301
2005,2,47,1,2,3,3,150,147301
2005,2,43,2,2,3,3,54,147302
2020,2,69,2,2,2,18,165,147504
2000,2,32,1,2,4,8,200,147601
2005,15,37,1,2,4,8,168,147601
2010,7,42,1,2,4,6,300,147601
2010,7,38,2,2,3,7,110,147602
2005,2,46,1,2,3,19,225,147801
2010,2,51,1,2,3,19,280,147801
2015,2,56,1,2,3,19,150,147801
2000,2,35,2,2,3,3,20,147802
2005,2,40,2,2,3,9,108,147802
2010,2,45,2,2,3,9,40,147802
2015,2,50,2,2,3,9,70,147802
2020,2,55,2,2,3,9,250,147802
2015,2,25,1,1,4,7,35,147803
2000,2,51,1,2,2,3,110,148001
2005,2,56,1,3,2,3,178,148001
2015,2,66,1,2,2,3,200,148001
2020,2,71,1,2,2,3,230,148001
2000,2,45,2,2,2,3,75,148002
2015,2,60,2,2,2,3,130,148002
2020,2,65,2,2,2,3,180,148002
2020,2,39,1,1,4,15,230,148004
2000,14,27,1,2,5,4,80,148101
2005,7,32,1,2,5,4,180,148101
2000,2,28,1,1,5,7,130,148201
2015,2,47,1,2,5,11,500,148301
2020,2,52,1,2,5,12,300,148301
2015,2,47,2,3,5,16,280,148302
2020,1,52,2,3,5,16,340,148302
2020,1,25,2,1,5,16,190,148303
2000,2,46,1,2,2,3,110,148501
2010,2,56,1,2,2,6,80,148501
2000,2,43,2,2,2,3,50,148502
2005,2,48,2,2,2,3,67,148502
2010,2,53,2,2,2,3,70,148502
2015,2,58,2,2,2,3,120,148502
2005,2,25,1,1,4,3,180,148503
2010,14,30,1,2,4,3,272,148503
2015,14,35,1,2,4,3,600,148503
2005,2,23,2,1,3,14,100,148504
2005,2,56,1,2,2,3,120,148701
2010,2,61,1,2,2,3,150,148701
2015,2,66,1,2,2,3,135,148701
2000,2,49,2,2,2,3,65,148702
2005,2,54,2,2,2,3,70,148702
2010,2,59,2,2,2,14,60,148702
2005,2,26,2,1,5,13,150,148704
2010,2,31,2,1,5,13,200,148704
2015,2,36,2,1,5,13,230,148704
2020,2,41,2,1,5,13,280,148704
2000,2,19,1,1,4,9,28,148705
2010,2,29,1,1,4,7,200,148705
2005,2,28,2,1,3,3,120,148706
2010,2,58,2,2,2,14,48,148802
2015,2,63,2,2,2,14,80,148802
2000,2,26,1,1,4,3,120,148803
2005,2,31,1,1,4,7,180,148803
2010,7,36,1,2,4,7,320,148803
2015,7,41,1,2,4,7,458,148803
2020,14,46,1,2,4,7,430,148803
2005,2,27,1,1,3,7,150,148804
2015,2,37,1,1,3,11,100,148804
2020,2,42,1,2,3,11,350,148804
2000,2,61,2,3,2,14,30,148901
2000,2,53,1,2,3,6,80,149001
2005,2,26,2,1,4,14,128,149004
2010,2,31,2,1,4,14,150,149004
2005,2,24,2,1,3,7,100,149005
2010,2,29,2,1,4,16,60,149005
2010,2,48,1,3,3,6,120,149101
2015,2,53,1,3,3,6,180,149101
2020,2,58,1,3,3,6,180,149101
2015,2,47,2,3,3,3,180,149102
2020,2,52,2,3,3,3,180,149102
2015,2,23,2,1,3,3,180,149103
2005,2,37,1,2,3,7,150,149203
2010,2,42,1,2,3,7,260,149203
2015,2,47,1,2,3,7,210,149203
2020,2,52,1,2,3,7,300,149203
2015,2,46,2,2,3,9,48,149204
2020,2,23,2,1,4,16,60,149205
2005,2,44,1,2,3,7,150,149301
2005,2,36,2,2,3,7,90,149302
2010,7,41,2,2,3,9,120,149302
2015,7,46,2,2,3,3,145,149302
2020,7,51,2,2,3,3,240,149302
2020,2,28,1,1,4,6,200,149303
2000,2,43,2,2,2,12,54,149402
2005,2,48,2,3,2,12,150,149402
2010,2,53,2,3,2,12,80,149402
2015,2,58,2,3,2,7,100,149402
2020,2,63,2,3,2,18,130,149402
2015,2,39,2,2,3,17,90,149403
2020,2,44,2,2,3,17,120,149403
2000,2,23,2,1,3,3,67,149404
2015,2,38,2,2,3,17,50,149404
2020,2,43,2,2,3,17,115,149404
2000,2,21,1,1,3,3,78,149405
2005,2,26,1,1,3,19,80,149405
2010,15,31,1,2,3,3,250,149405
2020,2,41,1,2,3,3,350,149405
2000,2,50,1,2,3,7,213,149501
2005,2,55,1,2,3,7,300,149501
2010,2,60,1,2,3,8,180,149501
2015,2,65,1,2,3,8,300,149501
2000,2,24,2,1,5,16,70,149503
2000,2,21,2,1,4,16,30,149504
2000,2,48,1,2,2,3,165,149601
2005,2,53,1,2,2,3,192,149601
2010,2,58,1,2,2,3,250,149601
2020,2,68,1,2,2,12,85,149601
2005,2,46,1,1,3,9,150,149603
2010,2,51,1,1,3,9,200,149603
2015,2,56,1,1,3,3,230,149603
2000,2,22,2,1,4,3,56,149604
2015,2,31,1,1,5,6,235,149606
2000,2,43,1,2,2,1,94,149801
2005,2,48,1,2,2,3,98,149801
2000,2,42,1,2,2,3,150,149901
2005,2,47,1,3,2,3,70,149901
2020,2,62,1,2,2,12,185,149901
2000,2,37,2,2,2,3,20,149902
2015,2,55,2,2,2,3,112,149904
2020,2,60,2,2,2,18,90,149904
2000,2,49,1,2,2,1,120,150101
2005,2,54,1,2,2,6,140,150101
2000,2,43,2,2,2,3,70,150102
2000,2,38,2,2,2,9,60,150202
2015,2,26,1,1,4,7,100,150203
2020,2,31,1,2,4,9,300,150203
2010,2,51,2,3,2,9,60,150401
2005,2,23,1,1,3,7,97,150604
2015,15,33,1,1,3,3,260,150604
2020,15,38,1,2,3,3,320,150604
2000,2,40,2,2,2,3,30,150802
2005,2,69,1,2,5,16,64,150901
2015,2,33,1,1,5,3,300,151002
2020,2,38,1,1,5,3,330,151002
2010,2,26,2,1,5,3,130,151003
2015,2,31,2,1,5,3,180,151003
2020,2,36,2,1,5,3,220,151003
2000,2,27,1,1,4,15,90,151202
2000,2,64,1,2,2,12,40,151302
2005,15,69,1,2,2,18,70,151302
2015,15,44,2,2,3,7,100,151305
2020,15,49,2,2,3,7,100,151305
2005,2,29,1,1,5,16,150,151404
2010,15,34,1,2,5,16,180,151404
2015,15,39,1,2,5,16,360,151404
2005,1,30,1,1,5,10,230,151504
2005,2,25,2,1,5,16,150,151505
2015,2,57,1,2,3,6,300,151701
2020,2,62,1,2,3,6,200,151701
2010,2,47,2,2,3,17,120,151702
2015,2,52,2,2,3,17,130,151702
2020,2,57,2,2,3,17,200,151702
2020,2,24,2,1,4,18,80,151704
2000,8,34,1,1,5,18,100,151803
2005,2,39,1,1,5,6,80,151803
2015,2,49,1,2,5,9,250,151803
2000,2,31,2,1,3,10,75,151804
2020,2,51,2,2,3,18,40,151804
2005,2,31,1,3,4,6,181,151806
2010,2,36,1,2,4,6,330,151806
2000,2,25,2,2,3,3,35,151808
2005,2,37,1,1,5,18,168,152003
2000,2,50,1,2,4,3,90,152101
2000,2,53,1,2,3,8,120,152201
2000,2,48,2,2,3,3,120,152202
2010,2,44,1,3,3,6,96,152301
2010,2,42,2,3,3,3,110,152302
2015,2,47,2,3,3,3,170,152302
2015,2,20,1,1,3,3,200,152303
2000,2,29,1,1,5,16,100,152307
2010,15,29,1,2,5,3,430,152403
2015,8,34,1,2,5,3,450,152403
2020,8,39,1,2,5,3,500,152403
2010,2,27,1,1,5,9,220,152404
2015,2,32,1,1,5,9,350,152404
2020,2,37,1,2,5,9,420,152404
2000,2,39,1,2,3,19,150,152501
2000,2,33,2,2,3,3,40,152502
2005,2,38,2,3,3,9,100,152502
2010,2,43,2,3,3,7,100,152502
2015,2,48,2,2,3,7,150,152502
2015,2,23,2,1,4,14,32,152503
2020,2,28,2,1,5,9,230,152503
2020,2,24,2,1,4,3,180,152504
2000,2,45,1,2,2,6,70,152601
2005,2,50,1,2,2,6,100,152601
2010,2,55,1,3,2,6,120,152601
2000,2,43,2,2,2,3,50,152602
2005,2,48,2,2,2,3,85,152602
2010,2,53,2,3,2,3,84,152602
2015,2,58,2,3,2,17,120,152602
2005,2,27,1,1,3,3,145,152603
2020,7,23,1,1,4,6,200,152705
2015,2,48,2,3,5,18,100,152802
2020,2,53,2,3,5,18,250,152802
2005,2,26,1,1,5,3,183,152803
2020,2,26,1,1,4,9,64,152805
2000,2,23,2,1,5,16,100,153003
2005,2,28,2,2,5,16,112,153003
2015,2,38,2,2,5,10,170,153003
2020,2,43,2,2,5,10,200,153003
2000,2,28,1,1,4,3,110,153103
2005,2,33,1,2,4,3,200,153103
2015,2,43,1,2,5,18,85,153103
2005,7,31,1,2,5,3,250,153104
2010,7,36,1,2,5,3,400,153104
2015,7,41,1,2,5,3,590,153104
2015,2,42,2,2,4,7,150,153106
2020,2,47,2,2,4,7,400,153106
2000,2,27,1,1,5,11,70,153203
2005,1,32,1,1,5,18,233,153203
2010,8,37,1,2,5,3,420,153203
2015,8,42,1,2,5,3,480,153203
2020,1,47,1,2,5,3,560,153203
2005,2,27,2,1,5,3,130,153204
2000,2,50,1,2,5,16,220,153301
2005,2,55,1,2,5,16,450,153301
2010,2,60,1,2,5,16,500,153301
2005,2,28,1,1,5,13,180,153303
2010,10,33,1,2,5,13,240,153303
2015,15,38,1,2,5,5,350,153303
2020,2,43,1,2,5,5,515,153303
2010,1,30,1,1,4,3,240,153304
2020,8,40,1,2,4,3,320,153304
2000,2,47,1,2,3,3,135,153401
2010,2,57,1,2,3,8,100,153401
2015,2,62,1,2,3,8,130,153401
2005,2,26,2,2,5,8,150,153403
2010,2,31,2,2,5,8,250,153403
2020,2,41,2,2,5,8,320,153403
2010,1,29,1,1,5,6,290,153404
2015,2,34,1,1,5,17,400,153404
2020,8,39,1,2,5,17,550,153404
2015,2,59,1,3,2,12,30,153501
2000,2,40,2,2,2,3,65,153502
2020,11,60,2,3,2,20,100,153502
2005,1,25,1,1,4,8,143,153503
2010,8,30,1,2,4,12,250,153503
2015,1,35,1,2,4,12,300,153503
2020,1,40,1,2,4,12,300,153503
2005,2,21,2,1,4,17,70,153504
2010,2,26,2,1,4,15,140,153504
2015,2,31,2,1,4,16,130,153504
2020,11,36,2,2,4,16,200,153504
2010,8,34,1,2,5,7,300,153603
2015,8,39,1,2,5,7,400,153603
2005,2,27,1,1,5,11,264,153604
2010,1,32,1,1,5,11,455,153604
2020,2,42,1,1,5,11,800,153604
2000,2,59,2,2,5,16,180,153702
2000,2,20,1,1,3,3,40,153804
2005,2,30,1,2,5,7,180,154003
2010,2,35,1,2,5,7,250,154003
2015,2,40,1,2,5,6,350,154003
2020,2,45,1,2,5,6,520,154003
2010,2,52,2,2,3,16,30,154102
2015,2,57,2,2,3,16,50,154102
2020,2,62,2,2,3,16,50,154102
2015,2,27,1,1,5,11,370,154104
2000,2,28,1,1,5,16,80,154301
2005,1,33,1,1,5,7,195,154301
2010,8,38,1,2,5,7,270,154301
2015,8,43,1,2,5,7,380,154301
2000,2,46,1,2,3,8,180,154401
2005,2,51,1,2,3,8,300,154401
2010,2,56,1,2,3,8,250,154401
2015,2,61,1,2,3,8,200,154401
2005,2,23,2,1,5,14,100,154403
2010,2,28,2,1,5,4,150,154403
2020,2,38,2,2,5,13,90,154403
2020,1,36,1,2,5,8,550,154404
2005,2,25,2,1,5,10,70,154503
2010,2,30,2,1,5,10,120,154503
2010,2,28,1,1,4,4,130,154504
2015,2,33,1,2,4,4,200,154504
2020,2,38,1,2,4,4,290,154504
2000,2,68,1,2,2,6,30,154701
2000,2,53,1,2,3,11,110,154801
2000,2,29,1,1,3,3,100,154803
2005,15,34,1,2,3,3,128,154803
2010,2,39,1,2,3,3,220,154803
2015,2,44,1,2,3,3,280,154803
2020,2,49,1,2,3,3,300,154803
2000,2,27,1,1,4,6,75,154804
2005,2,32,1,2,4,3,181,154804
2010,15,37,1,2,4,3,300,154804
2015,15,42,1,2,4,3,300,154804
2020,15,47,1,2,4,3,550,154804
2010,2,56,1,2,2,8,200,155001
2015,2,61,1,2,2,8,230,155001
2020,2,66,1,2,2,7,200,155001
2000,2,40,1,2,4,8,185,155301
2005,2,45,1,2,4,8,290,155301
2010,2,50,1,2,4,8,350,155301
2015,2,55,1,2,4,8,450,155301
2010,2,48,2,2,3,16,40,155302
2015,2,53,2,2,3,9,55,155302
2015,2,26,2,1,5,8,120,155303
2000,2,44,1,2,5,7,100,155401
2005,2,49,1,2,5,7,150,155401
2010,2,54,1,2,5,7,350,155401
2015,2,28,2,1,5,7,160,155404
2000,2,45,1,2,3,6,100,155501
2005,2,50,1,2,3,6,54,155501
2010,2,55,1,2,3,6,100,155501
2015,2,60,1,2,3,6,150,155501
2020,2,65,1,2,3,6,150,155501
2000,2,42,2,2,2,3,60,155502
2005,2,22,1,1,4,18,70,155503
2015,2,32,1,1,5,3,280,155503
2020,2,37,1,1,5,3,300,155503
2000,2,70,2,3,2,14,40,155601
2005,15,55,1,2,2,3,140,155701
2005,15,51,2,2,2,9,70,155702
2005,15,28,1,1,5,7,140,155703
2010,15,33,1,1,5,7,200,155703
2015,15,38,1,2,5,3,250,155703
2020,2,43,1,3,5,8,330,155703
2015,2,70,1,2,5,7,300,155802
2020,2,75,1,2,5,7,400,155802
2015,2,64,2,2,5,7,200,155803
2020,2,69,2,2,5,7,250,155803
2005,2,66,1,2,3,3,150,155901
2000,2,31,1,2,5,7,200,155903
2000,2,29,1,1,3,7,150,156003
2000,2,56,1,2,2,18,40,156301
2005,2,61,1,2,2,16,65,156301
2005,2,57,2,2,2,16,30,156302
2000,2,25,2,1,3,11,76,156303
2005,2,30,2,2,3,11,250,156303
2010,2,35,2,2,3,11,350,156303
2015,2,40,2,2,3,11,300,156303
2020,2,45,2,2,3,11,300,156303
2010,15,33,1,2,5,13,150,156304
2015,15,38,1,2,5,3,180,156304
2020,15,43,1,2,5,3,400,156304
2010,2,31,1,1,4,3,100,156305
2015,2,36,1,1,4,3,170,156305
2020,2,41,1,1,4,3,200,156305
2005,2,44,1,2,2,8,180,156401
2005,2,37,1,1,3,8,160,156404
2010,2,42,1,1,3,8,170,156404
2015,2,47,1,1,3,8,200,156404
2020,2,52,1,1,3,8,250,156404
2015,2,28,2,1,4,17,140,156405
2020,2,33,2,2,4,17,160,156405
2010,2,19,2,1,3,17,80,156406
2015,2,24,2,1,3,17,150,156406
2010,2,49,2,2,2,9,100,156407
2015,2,54,2,3,2,9,100,156407
2020,2,59,2,3,2,9,120,156407
2000,3,26,2,1,5,3,75,156601
2005,1,31,2,2,5,13,100,156601
2005,1,34,1,2,5,15,215,156602
2010,1,39,1,2,5,15,360,156602
2015,1,44,1,2,5,15,420,156602
2020,1,49,1,2,5,15,500,156602
2000,2,39,1,2,2,3,110,156701
2005,2,44,1,2,2,3,180,156701
2000,2,39,2,2,2,20,60,156702
2005,2,44,2,2,2,3,100,156702
2005,2,21,1,1,3,3,80,156703
2000,2,55,1,2,2,6,50,156801
2005,2,56,2,2,2,6,50,156802
2010,2,61,2,2,2,6,100,156802
2015,2,66,2,2,2,6,130,156802
2020,2,71,2,2,2,6,100,156802
2005,2,24,2,1,3,17,70,156803
2020,2,39,2,2,3,12,150,156803
2005,2,22,2,1,4,18,45,156804
2020,2,37,2,1,4,8,145,156804
2020,2,36,1,2,2,6,300,156805
2000,2,44,1,2,2,3,45,157001
2000,2,43,2,2,2,9,15,157002
2000,2,24,1,1,4,7,25,157003
2015,2,39,1,2,5,3,270,157003
2020,2,44,1,2,5,3,330,157003
2010,2,20,1,1,3,3,100,157004
2015,2,25,1,1,3,3,220,157004
2020,2,30,1,2,3,3,280,157004
2000,2,40,1,1,2,3,60,157005
2005,2,45,1,1,2,3,20,157005
2010,2,50,1,1,2,3,60,157005
2015,2,55,1,1,2,3,90,157005
2020,2,60,1,1,2,3,80,157005
2015,2,62,1,2,2,14,120,157101
2020,2,67,1,2,2,14,150,157101
2005,2,50,2,2,2,15,40,157102
2000,2,19,2,1,3,3,60,157103
2010,2,29,2,3,3,18,80,157103
2010,2,27,1,1,3,6,70,157104
2015,2,32,1,1,3,8,160,157104
2000,2,48,1,2,2,6,50,157201
2005,2,53,1,2,2,6,28,157201
2010,2,53,2,2,2,6,40,157202
2005,2,23,2,1,4,7,70,157203
2010,1,28,2,2,4,14,104,157203
2005,2,22,1,1,3,18,50,157204
2010,2,27,1,1,3,7,100,157204
2015,2,32,1,1,3,7,150,157204
2020,2,37,1,2,3,7,240,157204
2000,2,38,1,2,3,6,150,157501
2005,2,43,1,2,3,6,243,157501
2010,2,48,1,2,3,6,400,157501
2015,2,53,1,2,3,6,300,157501
2000,2,36,2,2,2,7,20,157502
2015,2,51,2,2,2,9,100,157502
2020,2,56,2,2,2,9,90,157502
2015,2,25,2,1,5,16,150,157503
2020,2,30,2,1,5,19,200,157503
2015,2,22,1,1,4,9,40,157504
2005,2,64,2,3,2,9,40,157601
2000,2,32,1,1,4,7,50,157602
2000,2,46,1,2,2,15,60,157701
2000,2,46,2,2,2,3,55,157702
2005,2,51,2,2,2,3,63,157702
2010,2,56,2,2,2,3,80,157702
2015,2,61,2,2,2,3,80,157702
2020,2,66,2,2,2,3,100,157702
2010,2,30,1,1,5,6,200,157703
2000,2,19,1,1,3,3,105,157704
2005,2,24,1,1,3,3,210,157704
2010,2,29,1,1,3,3,240,157704
2015,2,34,1,1,4,3,250,157704
2020,2,39,1,1,4,3,300,157704
2005,2,66,1,2,2,12,74,157801
2000,15,30,1,1,4,3,75,157803
2005,15,35,1,1,4,3,120,157803
2010,15,40,1,2,4,3,130,157803
2015,15,45,1,2,4,3,150,157803
2000,2,30,2,3,2,3,70,157902
2005,2,35,2,2,2,9,130,157902
2010,2,40,2,2,2,3,160,157902
2015,2,45,2,3,2,17,80,157902
2020,2,50,2,3,2,15,130,157902
2015,2,23,1,1,3,3,150,157903
2020,2,28,1,2,3,7,280,157903
2010,2,42,1,2,3,3,200,157904
2000,2,42,1,2,3,3,160,158001
2005,2,47,1,2,3,3,292,158001
2010,2,52,1,2,3,3,370,158001
2015,2,57,1,2,3,3,420,158001
2020,2,62,1,2,3,3,300,158001
2000,2,36,2,2,2,3,48,158002
2005,2,41,2,2,2,3,70,158002
2010,2,46,2,2,2,3,80,158002
2015,2,51,2,2,2,3,60,158002
2020,2,56,2,2,2,3,100,158002
2015,2,28,2,1,5,11,230,158003
2020,2,33,2,2,5,11,430,158003
2015,2,28,2,1,5,13,230,158004
2020,2,33,2,1,5,4,300,158004
2000,2,41,1,2,2,6,90,158101
2005,2,46,1,2,2,6,128,158101
2010,2,51,1,2,2,6,160,158101
2015,2,56,1,2,2,6,300,158101
2020,2,61,1,2,2,6,300,158101
2000,2,36,2,2,2,9,70,158102
2005,2,41,2,2,2,6,80,158102
2010,2,46,2,2,2,6,56,158102
2015,2,51,2,2,2,6,150,158102
2005,2,21,2,1,4,17,55,158103
2010,2,26,2,1,4,17,120,158103
2010,8,41,1,2,3,6,170,158201
2015,8,46,1,2,3,6,300,158201
2020,8,51,1,2,3,6,450,158201
2000,8,34,2,2,3,9,50,158202
2010,8,44,2,2,3,9,70,158202
2015,8,49,2,2,3,7,120,158202
2020,8,54,2,2,3,7,120,158202
2015,2,61,1,2,3,4,230,158301
2020,2,66,1,2,3,4,100,158301
2020,2,58,2,2,3,9,150,158302
2015,19,26,1,1,5,16,340,158304
2000,2,19,1,1,3,4,70,158402
2005,2,52,2,3,2,9,80,158603
2000,2,22,2,1,3,3,65,158804
2005,1,27,2,1,3,3,150,158804
2000,2,35,1,2,3,8,120,158901
2010,2,45,1,2,3,19,250,158901
2015,2,50,1,2,3,19,300,158901
2020,2,55,1,2,3,19,300,158901
2010,2,44,2,2,3,17,110,158902
