year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage,pid
2005,1,45,2,2,3,3,80,4402
2010,1,50,2,2,3,3,150,4402
2015,1,55,2,2,3,3,120,4402
2020,1,60,2,2,3,3,120,4402
2020,1,25,2,1,5,16,250,4404
2010,1,46,1,2,5,11,500,4701
2015,1,51,1,2,5,11,800,4701
2000,1,28,1,1,5,8,80,4903
2005,1,33,1,2,5,8,300,4903
2015,1,43,1,2,5,8,300,4903
2000,8,36,1,2,5,10,200,5002
2010,8,46,1,2,5,10,630,5002
2015,8,51,1,2,5,10,385,5002
2010,8,42,2,2,5,17,216,5003
2015,8,47,2,2,5,17,282,5003
2020,8,52,2,3,5,17,390,5003
2000,1,44,2,3,4,9,100,5101
2010,1,54,2,3,4,11,200,5101
2020,1,64,2,2,4,9,200,5101
2000,1,21,2,1,3,8,83,5103
2005,1,26,2,1,4,8,150,5103
2010,1,31,2,2,5,8,280,5103
2005,1,23,2,1,4,9,48,5104
2010,1,22,2,1,4,7,100,5105
2015,1,27,2,1,5,9,45,5105
2020,1,32,2,2,5,16,175,5105
2000,1,32,1,2,3,9,150,5201
2005,1,37,1,2,3,9,140,5201
2020,8,31,1,1,4,3,220,5403
2020,1,28,2,1,5,14,100,5404
2000,1,41,2,2,5,16,120,5602
2000,1,41,1,1,3,7,180,5802
2010,1,80,1,2,3,3,100,5901
2015,1,85,1,2,3,3,120,5901
2020,1,90,1,2,3,3,137,5901
2005,8,56,1,2,5,6,100,6001
2005,8,52,2,2,2,12,60,6002
2005,1,68,1,2,2,14,70,6101
2000,1,64,2,2,2,14,58,6102
2005,1,69,2,2,2,12,62,6102
2005,1,40,2,1,4,3,150,6103
2000,1,31,2,1,3,9,60,6104
2005,1,36,2,1,3,9,150,6104
2010,1,41,2,1,3,9,100,6104
2020,8,51,2,1,3,9,60,6104
2015,8,24,1,1,4,3,150,6303
2010,8,42,1,1,4,7,200,6403
2020,8,52,1,1,4,18,80,6403
2000,1,27,2,1,4,17,70,6503
2015,1,36,1,1,5,10,375,6603
2000,1,66,2,2,2,15,12,6702
2005,1,41,2,3,3,1,80,6703
2000,1,24,2,1,4,17,60,6803
2005,1,29,2,1,4,17,90,6803
2000,1,19,2,1,3,4,59,6804
2005,1,24,2,1,4,11,140,6804
2010,1,29,2,1,4,11,130,6804
2015,1,34,2,2,4,11,300,6804
2020,1,39,2,2,4,11,350,6804
2000,1,56,1,2,3,12,100,7201
2010,1,61,2,2,3,18,100,7202
2015,1,66,2,2,3,18,100,7202
2020,1,71,2,2,3,18,100,7202
2000,1,28,2,1,5,17,100,7203
2010,1,38,2,2,5,17,400,7203
2005,1,31,1,1,5,11,258,7204
2005,1,25,2,1,5,17,210,7205
2010,1,30,2,1,5,17,240,7205
2020,1,40,2,1,5,17,300,7205
2000,1,50,1,2,2,16,80,7301
2010,1,60,1,2,2,7,150,7301
2015,1,65,1,2,2,8,100,7301
2020,1,70,1,2,2,8,120,7301
2005,1,54,2,2,2,20,45,7302
2005,1,28,1,1,4,3,110,7303
2020,1,43,1,2,5,10,200,7303
2010,1,31,2,1,5,16,200,7304
2005,1,34,1,2,3,6,180,7501
2015,1,44,2,2,3,17,150,7502
2020,1,49,2,2,3,17,195,7502
2005,13,34,2,2,2,8,8,7601
2015,13,44,2,2,2,7,60,7601
2020,13,49,2,2,2,7,180,7601
2005,1,32,2,1,3,3,130,7602
2000,1,33,2,1,3,3,150,7603
2005,1,38,2,1,3,3,80,7603
2015,1,48,2,2,3,9,41,7603
2020,1,53,2,2,3,9,100,7603
2000,1,46,1,2,3,7,200,7701
2005,3,39,1,2,5,3,150,7803
2000,1,51,1,2,5,10,400,7901
2005,1,56,1,2,5,10,600,7901
2005,1,28,1,1,5,17,240,7903
2010,8,33,1,2,5,17,1083,7903
2005,1,27,1,1,5,12,235,7904
2010,1,32,1,2,5,12,420,7904
2015,1,37,1,2,5,12,200,7904
2020,1,42,1,2,5,12,600,7904
2010,1,28,2,1,4,16,250,7905
2020,1,38,2,1,4,16,250,7905
2000,1,55,1,2,3,12,150,8001
2010,1,65,1,2,3,12,100,8001
2015,1,70,1,2,3,12,120,8001
2000,1,49,2,2,3,3,140,8002
2020,8,43,2,2,5,8,200,8003
2020,1,40,1,1,5,18,250,8004
2005,1,33,1,2,5,14,180,8201
2015,1,43,1,2,5,6,310,8201
2020,1,48,1,2,5,6,370,8201
2005,1,27,2,2,5,18,150,8204
2010,1,32,2,2,5,18,200,8204
2015,1,37,2,2,5,18,200,8204
2020,1,42,2,2,5,18,250,8204
2020,5,40,2,2,5,16,97,8303
